,id,original_title,title,popularity,release_date,vote_average,vote_count
1359,573435,Bad Boys: Ride or Die,Bad Boys: Ride or Die,305.33,2024-06-05,7.481,2450
1360,9559,A Perfect World,A Perfect World,26.715,1993-11-24,7.5,1648
1361,196,Back to the Future Part III,Back to the Future Part III,38.681,1990-05-25,7.484,10516
1362,10843,After Hours,After Hours,24.163,1985-08-16,7.482,1473
1363,186,Lucky Number Slevin,Lucky Number Slevin,32.558,2006-02-24,7.482,4055
1364,483983,Ballon,Balloon,19.804,2018-09-27,7.5,422
1365,13930,For the Birds,For the Birds,12.671,2000-11-02,7.481,1213
1366,4593,Le Charme discret de la bourgeoisie,The Discreet Charm of the Bourgeoisie,17.285,1972-09-15,7.5,794
1367,522,Ed Wood,Ed Wood,15.267,1994-09-28,7.481,2312
1368,293863,The Age of Adaline,The Age of Adaline,42.065,2015-04-16,7.48,6632
1369,26280,J'ai tué ma mère,I Killed My Mother,14.237,2009-06-05,7.5,1096
1370,11978,Men of Honor,Men of Honor,22.453,2000-09-13,7.48,2278
1371,9081,Waking Life,Waking Life,16.904,2001-10-19,7.5,866
1372,625,The Killing Fields,The Killing Fields,22.124,1984-11-23,7.481,734
1373,529203,The Croods: A New Age,The Croods: A New Age,63.313,2020-11-25,7.478,3833
1374,431937,Mr & Mme Adelman,Mr & Mme Adelman,9.586,2017-03-08,7.5,438
1375,11344,달콤한 인생,A Bittersweet Life,27.956,2005-04-01,7.5,867
1376,31682,The Incredible Shrinking Man,The Incredible Shrinking Man,14.626,1957-02-22,7.477,493
1377,176983,ワンピース フィルム ゼット,One Piece Film: Z,24.05,2012-12-15,7.5,515
