Product Name,Colours,Price,Rating,Ratings Count,Reviews Count,RAM (GB),ROM (GB),Display (inch),Battery Capacity (mAh)
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S21 FE 5G,Olive Green,30990,4.3,50166,14030,8,128,6.4,4500
SAMSUNG Galaxy S24 5G,Amber Yellow,63999,4.5,1476,162,8,128,6.2,4000
SAMSUNG Galaxy F23 5G,Forest Green,17499,4.2,49091,3580,4,128,6.6,5000
SAMSUNG Galaxy Z Flip5,Cream,102499,4.4,755,45,8,512,6.7,3700
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy A06,Gold,11499,4.1,18,3,4,128,6.7,5000
SAMSUNG Galaxy A23 5G,Orange,21999,4.1,2872,186,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S21 FE 5G,Lavender,39999,4.3,50166,14030,8,128,6.4,4500
SAMSUNG Galaxy Z Flip6 5G,Silver Shadow,109999,4.4,96,11,12,256,6.7,4000
